Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"U1"	,"ESP-12F(ESP8266MOD)"	,"WIFIM-SMD_ESP-12F-ESP8266MOD"	,"522.1mil"	,"-452.9mil"	,"522.1mil"	,"-452.9mil"	,"220.9mil"	,"-750.2mil"	,"T"	,"0"	,"Yes"	,"ESP-12F(ESP8266MOD)"	,
"LIGHT"	,"GT36549"	,"RES-SMD_L3.6-W2.4"	,"1355.7mil"	,"-330mil"	,"1355.7mil"	,"-330mil"	,"1295mil"	,"-330mil"	,"T"	,"0"	,"Yes"	,"GT36549"	,
"TEMP"	,"DS18B20U"	,"MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL"	,"1350mil"	,"-200mil"	,"1350mil"	,"-200mil"	,"1259.5mil"	,"-161.6mil"	,"T"	,"270"	,"Yes"	,"DS18B20U"	,
"R2"	,"FRC0603J472 TS"	,"R0603"	,"1195mil"	,"-215mil"	,"1195mil"	,"-215mil"	,"1195mil"	,"-185.3mil"	,"T"	,"270"	,"Yes"	,"FRC0603J472 TS"	,
"U4"	,"AMS1117-3.3V"	,"SOT-223_L6.5-W3.5-P2.30-LS7.0-BR"	,"1095mil"	,"-655mil"	,"1095mil"	,"-655mil"	,"1207.5mil"	,"-745.6mil"	,"T"	,"0"	,"Yes"	,"AMS1117-3.3V"	,
"C2"	,"CL10A106MO8NQNC"	,"C0603"	,"895mil"	,"-662.4mil"	,"895mil"	,"-662.4mil"	,"895mil"	,"-634.9mil"	,"T"	,"270"	,"Yes"	,"CL10A106MO8NQNC_10uF"	,
"D1"	,"1N4007"	,"SMA_L4.3-W2.5-LS5.0-RD"	,"1127.7mil"	,"-455mil"	,"1127.7mil"	,"-455mil"	,"1045mil"	,"-455mil"	,"T"	,"0"	,"Yes"	,"1N4007"	,
"USB"	,"10118192-0001LF"	,"MICRO-USB-SMD_10118192-0001LF_1"	,"1375mil"	,"-615mil"	,"1375mil"	,"-615mil"	,"1316.4mil"	,"-666.2mil"	,"T"	,"90"	,"Yes"	,"10118192-0001LF"	,
"C1"	,"CL10A106MO8NQNC"	,"C0603"	,"1200mil"	,"-335mil"	,"1200mil"	,"-335mil"	,"1200mil"	,"-307.4mil"	,"T"	,"270"	,"Yes"	,"CL10A106MO8NQNC_10uF"	,
"R3"	,"RC0603FR-0712KL"	,"R0603"	,"1030mil"	,"-360mil"	,"1030mil"	,"-360mil"	,"1059.7mil"	,"-360mil"	,"T"	,"180"	,"Yes"	,"RC0603FR-0712KL_12kΩ"	,
"R4"	,"RC0603FR-0712KL"	,"R0603"	,"940mil"	,"-550mil"	,"940mil"	,"-550mil"	,"969.7mil"	,"-550mil"	,"T"	,"180"	,"Yes"	,"RC0603FR-0712KL_12kΩ"	,
"R5"	,"RC0603FR-0712KL"	,"R0603"	,"1030mil"	,"-240mil"	,"1030mil"	,"-240mil"	,"1059.7mil"	,"-240mil"	,"T"	,"180"	,"Yes"	,"RC0603FR-0712KL_12kΩ"	,
"R6"	,"RC0603FR-0712KL"	,"R0603"	,"1030mil"	,"-300mil"	,"1030mil"	,"-300mil"	,"1059.7mil"	,"-300mil"	,"T"	,"180"	,"Yes"	,"RC0603FR-0712KL_12kΩ"	,
"R7"	,"RC0603FR-0712KL"	,"R0603"	,"1030mil"	,"-180mil"	,"1030mil"	,"-180mil"	,"1059.7mil"	,"-180mil"	,"T"	,"180"	,"Yes"	,"RC0603FR-0712KL_12kΩ"	,
"C3"	,"CC0603CRNPO9BN4R7"	,"C0603"	,"940mil"	,"-480mil"	,"940mil"	,"-480mil"	,"912.4mil"	,"-480mil"	,"T"	,"0"	,"Yes"	,"CC0603CRNPO9BN4R7_4.7pF"	,
"LED: IO 16"	,"XL-1608SURC-06"	,"LED0603-RD_RED"	,"1420mil"	,"-855mil"	,"1420mil"	,"-855mil"	,"1451.5mil"	,"-854.9mil"	,"T"	,"180"	,"Yes"	,"XL-1608SURC-06"	,
"R8"	,"RC0603FR-07100RL"	,"R0603"	,"910mil"	,"-760mil"	,"910mil"	,"-760mil"	,"880.3mil"	,"-760mil"	,"T"	,"0"	,"Yes"	,"RC0603FR-07100RL_100Ω"	,
"PWR"	,"XL-1608SURC-06"	,"LED0603-RD_RED"	,"1125mil"	,"-210mil"	,"1125mil"	,"-210mil"	,"1124.9mil"	,"-178.5mil"	,"T"	,"270"	,"Yes"	,"XL-1608SURC-06"	,
"R9"	,"RC0603FR-07330RL"	,"R0603"	,"1125mil"	,"-335mil"	,"1125mil"	,"-335mil"	,"1125mil"	,"-305.3mil"	,"T"	,"270"	,"Yes"	,"RC0603FR-07330RL_330Ω"	,
"R1"	,"RC0603FR-07100KL"	,"R0603"	,"940mil"	,"-415mil"	,"940mil"	,"-415mil"	,"910.3mil"	,"-415mil"	,"T"	,"0"	,"Yes"	,"RC0603FR-07100KL_100kΩ"	,
